,Speech
0,I’d like to thank you for leaving ‘crazy person’ out of the description
1,"So, I thought — I was trying to think what’s the most useful thing that I – what I can  say that can actually be helpful and useful to you in the future"
2,"And I thought, perhaps tell the story of how I sort of came to be here"
3,How did these things happen?  And maybe there are lessons there
4,"I often find myself wondering, how did this happen"
5,"When I was young, I didn’t really know what I was going to do when I got older"
6,People kept asking me
7,"But then eventually, I thought the idea of inventing things would be really cool"
8,And the reason I thought that was because I read a quote from Arthur C. Clark which  said that “A sufficiently advanced technology is indistinguishable from magic.’  And that’s really true
9,"If you go back say, 300 years, the things we take for granted today, you’d be burned  at stake for"
10,Being able to fly
11,"Being able to see over long distances, being able to communicate, having effectively with  the Internet as a group mind of sorts, and having access to all the world’s information  instantly from almost anywhere on the earth"
12,This stuff that really would be magic – that would be considered magic in times past
13,"In fact, I think it actually goes beyond that, because there are many things that we take  for granted today that weren’t even imagined in times past, that weren’t even in the  realm of magic"
14,"So, it actually goes beyond that"
15,"So I thought, well if I can do some of those things – basically if I can advance technology,  then that is like magic and that would be really cool"
16,"I always had an existential crisis, because I was trying to figure out ‘what does it  all mean?’  Like what’s the purpose of things?  And I came to the conclusion that if we can advance the knowledge of the world, if we  can do things that expand the scope and scale of consciousness, then we’re better able  to ask the right questions and become more enlightened"
17,And that’s the only way forward
18,"So, I studied physics and business, because I figured in order to do a lot of these things  you need to know how the universe works and you need to know how the economy works"
19,And you also need to be able to bring a lot of people together to work with you to create  something
20,Because it’s very difficult to do something as individuals if it’s a significant technology
21,"So, I originally came out to California to try to figure out how to improve the energy  density of electric vehicles – basically to try to figure out if there was an advanced  capacitor that could serve as an alternative to batteries"
22,And that was in 1995
23,That’s also when the Internet started to happen
24,"And I thought well I could either pursue this technology, where success may not be one of  the possible outcomes, which is always tricky, or participate in the Internet and be part  of it"
25,"So, I decided to drop out"
26,"Fortunately, we’re past graduation, so, I can’t be accused of recommending that  to you"
27,"And I did some Internet stuff, you know"
28,I’ve done a few things here and there
29,One of which is PayPal
30,"Maybe it’s helpful to say, one of the things that was important then in the creation of  PayPal was how it started"
31,"Because initially – the initial thought with PayPal was to create a conglomeration  of financial services, so if you have one place where all of your financial services  needs could be seamlessly integrated and works smoothly"
32,"And we had a little feature, which was through e-mail payments"
33,"Whenever we’d show the system off to someone, we’d show the hard part, which was the conglomeration  of financial services, which is quite difficult to put together"
34,"Then we showed people e-mail payments, which was quite easy, and everybody was interested"
35,"So, I think it’s important to take feedback from your environment"
36,You want to be as closed-loop as possible
37,"So, we focused on e-mail payments and tried to make that work"
38,And that’s what really got things to take off
39,"But, if we hadn’t responded to what people said, then we probably would not have been  successful"
40,"So, it’s important to look for things like that and focus on them when you seem them,  and you correct your prior assumptions"
41,"Going from PayPal, I thought well, what are some of the other problems that are likely  to most affect the future of humanity?  It really wasn’t from the perspective of, ‘what’s the best way to make money,’  which is okay, but it was really ‘what do I think is going to most affect the future  of humanity.’  So, the biggest terrestrial problem we’ve got is sustainable energy"
42,But the production and consumption of energy in a sustainable manner
43,"If we don’t solve that in this century, we’re in deep trouble"
44,And the other one being the extension of life beyond earth to make life multi-planetary
45,So that’s the basis for — the latter is the basis for SpaceX and the former is the  basis for Tesla and SolarCity
46,"When I started SpaceX, initially, I thought that well, there’s no way one could start  a rocket company"
47,I wasn’t that crazy
48,"But then, I thought, well, what is a way to increase NASA’s budget?  That was actually my initial goal"
49,"I thought well if we could do a low-cost mission to Mars, something called Mars Oasis, which  would land with seeds in dehydrated nutrient gel, then hydrate them upon landing"
50,And you’d have this great short of money shot of green plants on a red background
51,The public tends to respond to precedence and superlatives
52,And this would be the first life on Mars and the furthest life had ever traveled as far  as we know
53,And I thought well that would get people really excited and increase NASA’s budget
54,So obviously the financial outcome from such a mission would probably be zero
55,"So, anything better than that was on the upside"
56,"So, I went to Russia three times to look at buying a refurbished ICBM… because that  was the best deal"
57,"And I can tell you it was very weird going there in late 2001-2002 going to the Russian  rocket forces and saying, ‘I’d like to buy two of your biggest rockets, but you can  keep the nuke.’  That’s a lot more"
58,"That was 10 years ago, I guess"
59,"They thought I was crazy, but I did have money"
60,"So, that was okay"
61,"After making several trips to Russia, I came to the conclusion that… that actually my  initial impression was wrong about – because my initial thought was, well, that there is  not enough will to explore and expand beyond earth and have a Mars base, that kind of thing"
62,But I came to the conclusion that was wrong
63,"In fact, there’s plenty of will, particularly in the United States"
64,"Because United States is a nation of explorers, so people who came here from other parts of  the world"
65,I think the United States is really a distillation of the spirit of human exploration
66,"But if people think it’s impossible, then well it’s going to completely break the  federal budget, then they’re not going to do it"
67,"So, after my third trip, I said, okay, what we really need to do here is try to solve  the space transport problem and started SpaceX"
68,And this was against the advice of pretty much everyone I talked to
69,One friend made sit down and watch a bunch of videos of rockets blowing up
70,Let me tell you he wasn’t far wrong
71,It was tough going there in the beginning
72,Because I never built anything physical
73,I mean I built like a model rocket as a kid and that kind of thing
74,But I never had a company that built any physical
75,"So, I had to figure out how to do all these things and bring together the right team of  people"
76,"And we did all that, and then, failed three times"
